Loan_ID,Loan_Amount,Loan_Term,Annual_Income,Credit_Score,Employment_Length,Loan_Status,Loan_Issue_Date
LN00001,16795,24,143747,617,0,Approved,2021-05-26
LN00002,1860,12,192805,681,6,Default,2013-12-04
LN00003,39158,12,34418,441,28,Approved,2022-03-14
LN00004,45732,60,57185,756,2,Approved,2018-09-28
LN00005,12284,24,61745,800,25,Approved,2020-03-27
LN00006,7265,36,100123,622,15,Approved,2021-01-12
LN00007,17850,60,107804,567,15,Approved,2023-10-23
LN00008,38194,36,188425,786,11,Approved,2011-07-29
LN00009,22962,24,131055,459,8,Approved,2012-12-31
LN00010,48191,12,139097,313,24,Approved,2017-12-05
LN00011,45131,48,68302,454,13,Approved,2015-06-12
LN00012,17023,48,142561,400,11,Approved,2010-10-17
LN00013,42090,24,173507,342,25,Approved,2016-10-03
LN00014,2685,48,77728,492,26,Approved,2014-05-08
LN00015,1769,36,118598,610,24,Default,2014-01-18
LN00016,3433,48,21238,764,15,Default,2012-03-15
LN00017,6311,24,101610,462,16,Approved,2011-09-04
LN00018,38819,24,164121,650,11,Approved,2011-04-17
LN00019,40188,36,77193,533,3,Approved,2015-05-24
LN00020,18568,48,186656,702,16,Approved,2022-03-23
LN00021,20769,48,86634,650,0,Approved,2011-02-14
LN00022,29693,12,34679,466,29,Approved,2014-06-14
LN00023,7396,60,54505,447,24,Approved,2020-11-03
LN00024,28480,24,71341,327,20,Approved,2019-10-15
LN00025,42434,12,70374,558,16,Default,2010-06-10
LN00026,26658,24,66998,741,10,Approved,2017-06-18
LN00027,19942,12,195931,826,18,Approved,2020-08-02
LN00028,19431,60,147203,510,22,Approved,2021-04-01
LN00029,3747,12,53178,842,29,Default,2019-07-11
LN00030,1189,24,178647,744,17,Default,2015-06-10
LN00031,20118,48,170401,752,19,Approved,2015-02-22
LN00032,36773,24,127373,703,1,Approved,2019-05-20
LN00033,2899,36,124139,365,8,Approved,2019-01-31
LN00034,2267,36,120290,704,27,Approved,2022-06-01
LN00035,32551,36,191140,734,8,Approved,2011-02-25
LN00036,12394,36,78951,527,11,Approved,2020-08-29
LN00037,4556,60,107629,775,29,Approved,2024-10-09
LN00038,4890,48,186243,767,12,Approved,2024-01-14
LN00039,42606,48,159334,400,15,Approved,2011-05-15
LN00040,31740,24,194342,722,28,Approved,2010-09-03
LN00041,15502,12,171857,655,12,Approved,2022-02-28
LN00042,22777,24,190541,438,22,Default,2011-04-25
LN00043,11627,24,88831,430,13,Approved,2024-04-10
LN00044,9792,24,101223,848,6,Approved,2013-08-26
LN00045,44323,24,65643,767,1,Approved,2017-01-11
LN00046,44021,48,23582,779,11,Approved,2021-09-05
LN00047,9433,12,132781,410,25,Approved,2021-07-16
LN00048,44001,24,181352,452,27,Approved,2012-01-28
LN00049,12016,48,193661,541,23,Approved,2015-10-12
LN00050,24897,24,124004,578,16,Approved,2010-04-19
LN00051,3612,36,60000,662,23,Default,2012-01-16
LN00052,24483,24,122592,707,4,Default,2014-02-25
LN00053,49555,24,21085,474,28,Default,2014-06-12
LN00054,18159,60,166672,434,19,Default,2022-05-10
LN00055,45974,36,117994,805,9,Approved,2013-09-10
LN00056,41994,12,137309,593,17,Approved,2019-01-25
LN00057,15541,24,127114,794,2,Default,2011-12-11
LN00058,36920,12,192668,718,12,Approved,2019-10-28
LN00059,27531,36,90410,505,12,Approved,2022-11-27
LN00060,2585,24,46825,617,9,Approved,2021-11-26
LN00061,4943,60,161985,372,28,Approved,2012-01-08
LN00062,24939,48,104269,558,1,Approved,2016-12-26
LN00063,20457,60,34332,657,26,Approved,2016-01-11
LN00064,2021,60,74895,447,27,Approved,2022-11-07
LN00065,12653,48,155504,524,15,Approved,2013-12-12
LN00066,44573,48,177642,404,3,Default,2011-11-15
LN00067,14417,48,157175,655,18,Approved,2015-04-05
LN00068,41757,24,142046,837,4,Approved,2016-01-17
LN00069,10692,12,166972,560,6,Approved,2024-02-27
LN00070,46758,12,87567,369,8,Approved,2019-03-06
LN00071,7873,48,82713,746,4,Approved,2016-01-29
LN00072,6675,60,78639,746,7,Default,2020-11-28
LN00073,1161,36,160060,556,1,Approved,2019-05-09
LN00074,38065,48,123603,830,21,Approved,2010-09-28
LN00075,27557,60,98488,418,23,Approved,2024-03-08
LN00076,34763,60,112905,365,24,Approved,2015-03-05
LN00077,33606,24,22977,544,26,Approved,2022-12-08
LN00078,12534,24,135650,356,19,Approved,2024-05-22
LN00079,30127,12,74641,343,19,Approved,2023-12-16
LN00080,41397,12,152340,823,6,Approved,2013-07-03
LN00081,26851,36,134465,723,28,Approved,2020-12-08
LN00082,2016,36,74431,835,3,Approved,2019-06-27
LN00083,25253,36,36756,694,20,Approved,2017-10-01
LN00084,25276,36,171836,749,14,Approved,2014-04-17
LN00085,24247,60,191457,556,17,Default,2024-09-17
LN00086,25300,60,166104,660,1,Approved,2015-07-31
LN00087,9529,12,196774,679,26,Approved,2012-03-04
LN00088,18262,24,162957,742,13,Approved,2012-10-27
LN00089,10268,24,29796,833,9,Approved,2012-05-09
LN00090,22271,48,124583,773,4,Approved,2022-06-01
LN00091,13185,60,183935,456,11,Approved,2011-07-05
LN00092,22243,36,101014,388,9,Approved,2014-04-15
LN00093,40099,36,183189,501,25,Approved,2011-11-09
LN00094,9571,48,171825,761,28,Approved,2011-04-07
LN00095,40976,24,40325,780,17,Approved,2014-03-03
LN00096,39044,36,158093,753,27,Approved,2013-05-19
LN00097,49984,24,73096,769,5,Approved,2013-02-10
LN00098,41774,48,164143,679,27,Approved,2021-07-14
LN00099,3568,24,84649,700,21,Approved,2024-11-18
LN00100,3027,24,28041,378,11,Approved,2022-10-03
LN00101,3695,24,60058,685,23,Default,2016-02-27
LN00102,49190,36,68263,642,27,Approved,2010-05-04
LN00103,6258,12,124820,744,0,Approved,2021-08-22
LN00104,23002,60,127645,351,6,Approved,2022-05-02
LN00105,40504,24,195542,550,11,Approved,2022-06-28
LN00106,34159,24,48223,628,6,Approved,2023-04-12
LN00107,14986,24,53575,793,8,Approved,2024-06-19
LN00108,13666,12,196871,649,19,Approved,2023-04-30
LN00109,39660,48,41661,758,14,Default,2024-10-10
LN00110,4561,36,56432,797,22,Approved,2020-10-05
LN00111,27854,12,182219,424,11,Approved,2020-05-04
LN00112,39952,24,49114,503,12,Approved,2017-11-24
LN00113,23662,12,26030,320,21,Approved,2023-12-18
LN00114,9392,12,110051,661,3,Approved,2022-04-17
LN00115,31535,12,198501,660,9,Approved,2015-09-29
LN00116,14067,48,67743,415,27,Approved,2017-08-04
LN00117,49033,60,145756,354,23,Approved,2014-12-07
LN00118,24599,36,85615,591,2,Approved,2020-01-22
LN00119,36222,48,67577,350,23,Approved,2010-05-24
LN00120,12837,48,130436,553,28,Approved,2010-06-15
LN00121,15039,60,22966,791,4,Approved,2018-08-05
LN00122,31818,48,149356,524,3,Approved,2024-01-27
LN00123,20115,12,133838,768,18,Approved,2010-03-10
LN00124,11965,12,23728,402,14,Approved,2016-11-06
LN00125,25538,24,188376,347,29,Approved,2010-01-25
LN00126,43530,48,152019,641,27,Approved,2020-10-03
LN00127,6056,24,101380,532,25,Approved,2016-06-15
LN00128,33482,36,86130,527,22,Approved,2021-03-31
LN00129,48716,12,41414,821,28,Approved,2011-07-31
LN00130,9110,36,113005,312,6,Approved,2021-11-08
LN00131,14773,60,170511,798,28,Approved,2017-11-22
LN00132,28266,12,111742,744,21,Default,2023-09-22
